id,atendente,sentimento do cliente,grupo_sentimento,score,mes,nome_cliente,sentimento_atendente,score_cliente
1,Carla,Raiva/Irritação,Negativo,-6,Fevereiro,Lucas,Satisfação,10
2,Felipe,Frustração,Negativo,-5,Agosto,Mariana,Confusão,-4
3,Daniel,Satisfação,Positivo,10,Julho,João,Urgência/Pressão,-3
4,Eduarda,Neutralidade,Neutro,0,Maio,Ana,Neutralidade,0
5,Henrique,Confusão,Negativo,-4,Março,Bruno,Satisfação,10
6,Ana,Satisfação,Positivo,10,Janeiro,Juliana,Raiva/Irritação,-6
7,Gabriela,Urgência/Pressão,Negativo,-3,Junho,Paulo,Frustração,-5
8,Bruno,Frustração,Negativo,-5,Outubro,Carla,Confusão,-4
9,Carla,Satisfação,Positivo,10,Abril,Felipe,Satisfação,10
10,Daniel,Raiva/Irritação,Negativo,-6,Dezembro,Sofia,Neutralidade,0
11,Felipe,Neutralidade,Neutro,0,Fevereiro,Rafael,Confusão,-4
12,Eduarda,Confusão,Negativo,-4,Janeiro,Beatriz,Satisfação,10
13,Henrique,Satisfação,Positivo,10,Novembro,Luciana,Raiva/Irritação,-6
14,Ana,Urgência/Pressão,Negativo,-3,Setembro,Gustavo,Urgência/Pressão,-3
15,Bruno,Raiva/Irritação,Negativo,-6,Julho,Isabela,Neutralidade,0
16,Gabriela,Satisfação,Positivo,10,Março,Ricardo,Confusão,-4
17,Daniel,Frustração,Negativo,-5,Outubro,Nicole,Frustração,-5
18,Carla,Confusão,Negativo,-4,Agosto,Henrique,Satisfação,10
19,Felipe,Satisfação,Positivo,10,Junho,Vanessa,Raiva/Irritação,-6
20,Eduarda,Neutralidade,Neutro,0,Maio,Iago,Satisfação,10
21,Henrique,Raiva/Irritação,Negativo,-6,Janeiro,Camila,Frustração,-5
22,Bruno,Confusão,Negativo,-4,Abril,Samuel,Confusão,-4
23,Gabriela,Satisfação,Positivo,10,Fevereiro,Renata,Urgência/Pressão,-3
24,Ana,Urgência/Pressão,Negativo,-3,Setembro,Thiago,Satisfação,10
25,Daniel,Neutralidade,Neutro,0,Março,Elisa,Neutralidade,0
26,Carla,Frustração,Negativo,-5,Junho,Marcos,Raiva/Irritação,-6
27,Felipe,Satisfação,Positivo,10,Novembro,Débora,Satisfação,10
28,Eduarda,Raiva/Irritação,Negativo,-6,Julho,André,Confusão,-4
29,Henrique,Confusão,Negativo,-4,Dezembro,Tatiane,Neutralidade,0
30,Ana,Satisfação,Positivo,10,Janeiro,Pedro,Frustração,-5
31,Bruno,Frustração,Negativo,-5,Abril,Helena,Satisfação,10
32,Gabriela,Urgência/Pressão,Negativo,-3,Maio,Otávio,Confusão,-4
33,Daniel,Neutralidade,Neutro,0,Junho,Ester,Urgência/Pressão,-3
34,Carla,Raiva/Irritação,Negativo,-6,Julho,Davi,Raiva/Irritação,-6
35,Eduarda,Satisfação,Positivo,10,Agosto,Aline,Satisfação,10
36,Ana,Confusão,Negativo,-4,Setembro,Caio,Frustração,-5
37,Felipe,Frustração,Negativo,-5,Outubro,Lívia,Neutralidade,0
38,Henrique,Satisfação,Positivo,10,Novembro,Rodrigo,Urgência/Pressão,-3
39,Bruno,Neutralidade,Neutro,0,Dezembro,Priscila,Confusão,-4
40,Gabriela,Confusão,Negativo,-4,Janeiro,Luiz,Satisfação,10
41,Daniel,Urgência/Pressão,Negativo,-3,Fevereiro,Carolina,Frustração,-5
42,Carla,Raiva/Irritação,Negativo,-6,Março,Diogo,Confusão,-4
43,Eduarda,Satisfação,Positivo,10,Abril,Yasmin,Satisfação,10
44,Ana,Frustração,Negativo,-5,Maio,César,Raiva/Irritação,-6
45,Felipe,Neutralidade,Neutro,0,Junho,Laura,Neutralidade,0
46,Henrique,Confusão,Negativo,-4,Julho,Renan,Frustração,-5
47,Bruno,Satisfação,Positivo,10,Agosto,Maria,Urgência/Pressão,-3
48,Gabriela,Urgência/Pressão,Negativo,-3,Setembro,Jorge,Satisfação,10
49,Daniel,Frustração,Negativo,-5,Outubro,Sandra,Confusão,-4
50,Carla,Satisfação,Positivo,10,Novembro,Joana,Frustração,-5
51,Eduarda,Raiva/Irritação,Negativo,-6,Dezembro,Leandro,Satisfação,10
52,Ana,Neutralidade,Neutro,0,Janeiro,Lorena,Raiva/Irritação,-6
53,Felipe,Confusão,Negativo,-4,Fevereiro,Igor,Satisfação,10
54,Henrique,Satisfação,Positivo,10,Março,Vitória,Neutralidade,0
55,Bruno,Urgência/Pressão,Negativo,-3,Abril,Julio,Frustração,-5
56,Gabriela,Frustração,Negativo,-5,Maio,Raquel,Confusão,-4
57,Daniel,Satisfação,Positivo,10,Junho,Sebastião,Satisfação,10
58,Carla,Neutralidade,Neutro,0,Julho,Patrícia,Urgência/Pressão,-3
59,Eduarda,Raiva/Irritação,Negativo,-6,Agosto,Rafael,Raiva/Irritação,-6
60,Ana,Satisfação,Positivo,10,Setembro,Clara,Satisfação,10
61,Felipe,Confusão,Negativo,-4,Outubro,Wilson,Frustração,-5
62,Henrique,Satisfação,Positivo,10,Novembro,Nayara,Confusão,-4
63,Bruno,Frustração,Negativo,-5,Dezembro,Brenda,Urgência/Pressão,-3
64,Gabriela,Neutralidade,Neutro,0,Janeiro,Samuel,Raiva/Irritação,-6
65,Daniel,Urgência/Pressão,Negativo,-3,Fevereiro,Cecília,Satisfação,10
66,Carla,Confusão,Negativo,-4,Março,Alex,Neutralidade,0
67,Eduarda,Satisfação,Positivo,10,Abril,Talita,Frustração,-5
68,Ana,Raiva/Irritação,Negativo,-6,Maio,Carlos,Satisfação,10
69,Felipe,Frustração,Negativo,-5,Junho,Juliana,Confusão,-4
70,Henrique,Satisfação,Positivo,10,Julho,Murilo,Neutralidade,0
71,Bruno,Neutralidade,Neutro,0,Agosto,Mônica,Urgência/Pressão,-3
72,Gabriela,Confusão,Negativo,-4,Setembro,Rita,Raiva/Irritação,-6
73,Daniel,Frustração,Negativo,-5,Outubro,Artur,Satisfação,10
74,Carla,Satisfação,Positivo,10,Novembro,Caio,Confusão,-4
75,Eduarda,Urgência/Pressão,Negativo,-3,Dezembro,Beatriz,Frustração,-5
76,Ana,Raiva/Irritação,Negativo,-6,Janeiro,Gabriel,Raiva/Irritação,-6
77,Felipe,Neutralidade,Neutro,0,Fevereiro,Clarice,Satisfação,10
78,Henrique,Satisfação,Positivo,10,Março,Lucia,Frustração,-5
79,Bruno,Confusão,Negativo,-4,Abril,Caio,Neutralidade,0
80,Gabriela,Satisfação,Positivo,10,Maio,Tânia,Confusão,-4
81,Daniel,Frustração,Negativo,-5,Junho,Patrícia,Urgência/Pressão,-3
82,Carla,Raiva/Irritação,Negativo,-6,Julho,Fábio,Satisfação,10
83,Eduarda,Neutralidade,Neutro,0,Agosto,Bianca,Confusão,-4
84,Ana,Satisfação,Positivo,10,Setembro,Vinícius,Frustração,-5
85,Felipe,Urgência/Pressão,Negativo,-3,Outubro,Yuri,Raiva/Irritação,-6
86,Henrique,Frustração,Negativo,-5,Novembro,Elen,Satisfação,10
87,Bruno,Satisfação,Positivo,10,Dezembro,Simone,Neutralidade,0
88,Gabriela,Neutralidade,Neutro,0,Janeiro,Cadu,Confusão,-4
89,Daniel,Confusão,Negativo,-4,Fevereiro,Rose,Frustração,-5
90,Carla,Satisfação,Positivo,10,Março,Marina,Urgência/Pressão,-3
91,Eduarda,Frustração,Negativo,-5,Abril,Henrique,Satisfação,10
92,Ana,Confusão,Negativo,-4,Maio,Aline,Raiva/Irritação,-6
93,Felipe,Satisfação,Positivo,10,Junho,Érica,Confusão,-4
94,Henrique,Urgência/Pressão,Negativo,-3,Julho,Leandro,Frustração,-5
95,Bruno,Raiva/Irritação,Negativo,-6,Agosto,Mirela,Urgência/Pressão,-3
96,Gabriela,Satisfação,Positivo,10,Setembro,Roberta,Satisfação,10
97,Daniel,Neutralidade,Neutro,0,Outubro,Bruno,Raiva/Irritação,-6
98,Carla,Confusão,Negativo,-4,Novembro,Ricardo,Frustração,-5
99,Eduarda,Satisfação,Positivo,10,Dezembro,Camila,Neutralidade,0
100,Ana,Frustração,Negativo,-5,Janeiro,Felipe,Satisfação,10
101,Felipe,Neutralidade,Neutro,0,Fevereiro,Vanessa,Urgência/Pressão,-3
102,Henrique,Raiva/Irritação,Negativo,-6,Março,João,Satisfação,10
103,Bruno,Frustração,Negativo,-5,Abril,Laura,Confusão,-4
104,Gabriela,Satisfação,Positivo,10,Maio,César,Neutralidade,0
105,Daniel,Urgência/Pressão,Negativo,-3,Junho,Isadora,Frustração,-5
106,Carla,Confusão,Negativo,-4,Julho,Patrick,Raiva/Irritação,-6
107,Eduarda,Frustração,Negativo,-5,Agosto,Letícia,Satisfação,10
108,Ana,Satisfação,Positivo,10,Setembro,Fernando,Urgência/Pressão,-3
109,Felipe,Neutralidade,Neutro,0,Outubro,Helena,Confusão,-4
110,Henrique,Raiva/Irritação,Negativo,-6,Novembro,Bruno,Frustração,-5
111,Bruno,Satisfação,Positivo,10,Dezembro,Renata,Satisfação,10
112,Gabriela,Confusão,Negativo,-4,Janeiro,Mateus,Neutralidade,0
113,Daniel,Raiva/Irritação,Negativo,-6,Fevereiro,Juliana,Raiva/Irritação,-6
114,Carla,Urgência/Pressão,Negativo,-3,Março,Thiago,Satisfação,10
115,Eduarda,Satisfação,Positivo,10,Abril,Daniele,Frustração,-5
116,Ana,Frustração,Negativo,-5,Maio,Leonardo,Confusão,-4
117,Felipe,Confusão,Negativo,-4,Junho,Bruna,Satisfação,10
118,Henrique,Satisfação,Positivo,10,Julho,Cristiano,Neutralidade,0
119,Bruno,Raiva/Irritação,Negativo,-6,Agosto,Marcela,Urgência/Pressão,-3
120,Gabriela,Neutralidade,Neutro,0,Setembro,Caio,Frustração,-5
